parameter	value	code_id	language_id	source
GB020	1	GB020-1	stan1293	g_HuddlestonPullum_English[368]
GB021	1	GB021-1	stan1293	g_HuddlestonPullum_English[371]
GB028	0	GB028-0	stan1293	g_HuddlestonPullum_English[426,1467]
GB030	1	GB030-1	stan1293	g_HuddlestonPullum_English[426]
GB044	1	GB044-1	stan1293	g_HuddlestonPullum_English[340,1585]
GB057	0	GB057-0	stan1293	g_HuddlestonPullum_English[385-387]
GB059	0	GB059-0	stan1293	g_HuddlestonPullum_English[470-478]
GB068	0	GB068-0	stan1293	g_HuddlestonPullum_English[527]
GB070	0	GB070-0	stan1293	g_HuddlestonPullum_English[457]
GB074	1	GB074-1	stan1293	g_HuddlestonPullum_English[598,602-603]
GB075	0	GB075-0	stan1293	g_HuddlestonPullum_English[602-603]
GB082	0	GB082-0	stan1293	g_HuddlestonPullum_English[127,1596]
GB083	1	GB083-1	stan1293	g_HuddlestonPullum_English[28,31,137-139,1596]
GB084	0	GB084-0	stan1293	g_HuddlestonPullum_English[127-136,208-210,1596]
GB086	0	GB086-0	stan1293	g_HuddlestonPullum_English[92,124,139-145,162]
GB103	0	GB103-0	stan1293	g_HuddlestonPullum_English[308-311]
GB107	1	GB107-1	stan1293	g_HuddlestonPullum_English[799-801]
GB117	1	GB117-1	stan1293	g_HuddlestonPullum_English[133,266-272]
GB118	1	GB118-1	stan1293	g_HuddlestonPullum_English[51,103,113]
GB132	1	GB132-1	stan1293	g_HuddlestonPullum_English[53,216]
GB147	0	GB147-0	stan1293	g_HuddlestonPullum_English[67-68,77,103-105]
GB155	0	GB155-0	stan1293	g_HuddlestonPullum_English[1233-1236]
GB262	0	GB262-0	stan1293	g_HuddlestonPullum_English[868-872]
GB322	0	GB322-0	stan1293	g_HuddlestonPullum_English[131,171-212]
GB522	0	GB522-0	stan1293	g_HuddlestonPullum_English[350,503,1281,1501]
