stable_id	kind	alias
std:grambank:feature	trait	GrambankSyntaxFeature
std:grambank:GB020	trait	GB020_DefiniteOrSpecificArticles
std:grambank:GB020:0	trait	GB020_Absent
std:grambank:GB020:1	trait	GB020_Present
std:grambank:GB021	trait	GB021_IndefiniteArticles
std:grambank:GB021:0	trait	GB021_Absent
std:grambank:GB021:1	trait	GB021_Present
std:grambank:GB028	trait	GB028_InclusiveExclusiveDistinction
std:grambank:GB028:0	trait	GB028_Absent
std:grambank:GB028:1	trait	GB028_Present
std:grambank:GB030	trait	GB030_ThirdPersonPronounGender
std:grambank:GB030:0	trait	GB030_Absent
std:grambank:GB030:1	trait	GB030_Present
std:grambank:GB044	trait	GB044_NounPluralMorphology
std:grambank:GB044:0	trait	GB044_Absent
std:grambank:GB044:1	trait	GB044_Present
std:grambank:GB057	trait	GB057_NumeralClassifiers
std:grambank:GB057:0	trait	GB057_Absent
std:grambank:GB057:1	trait	GB057_Present
std:grambank:GB059	trait	GB059_PossessiveAlienabilitySplit
std:grambank:GB059:0	trait	GB059_Absent
std:grambank:GB059:1	trait	GB059_Present
std:grambank:GB068	trait	GB068_VerbLikePredicativeAdjectives
std:grambank:GB068:0	trait	GB068_Absent
std:grambank:GB068:1	trait	GB068_Present
std:grambank:GB070	trait	GB070_CoreArgumentCase
std:grambank:GB070:0	trait	GB070_Absent
std:grambank:GB070:1	trait	GB070_Present
std:grambank:GB074	trait	GB074_Prepositions
std:grambank:GB074:0	trait	GB074_Absent
std:grambank:GB074:1	trait	GB074_Present
std:grambank:GB075	trait	GB075_Postpositions
std:grambank:GB075:0	trait	GB075_Absent
std:grambank:GB075:1	trait	GB075_Present
std:grambank:GB082	trait	GB082_PresentTenseMorphology
std:grambank:GB082:0	trait	GB082_Absent
std:grambank:GB082:1	trait	GB082_Present
std:grambank:GB083	trait	GB083_PastTenseMorphology
std:grambank:GB083:0	trait	GB083_Absent
std:grambank:GB083:1	trait	GB083_Present
std:grambank:GB084	trait	GB084_FutureTenseMorphology
std:grambank:GB084:0	trait	GB084_Absent
std:grambank:GB084:1	trait	GB084_Present
std:grambank:GB086	trait	GB086_PerfectiveImperfectiveMorphology
std:grambank:GB086:0	trait	GB086_Absent
std:grambank:GB086:1	trait	GB086_Present
std:grambank:GB103	trait	GB103_BenefactiveApplicative
std:grambank:GB103:0	trait	GB103_Absent
std:grambank:GB103:1	trait	GB103_Present
std:grambank:GB107	trait	GB107_BoundVerbalNegation
std:grambank:GB107:0	trait	GB107_Absent
std:grambank:GB107:1	trait	GB107_Present
std:grambank:GB117	trait	GB117_PredicateNominalCopula
std:grambank:GB117:0	trait	GB117_Absent
std:grambank:GB117:1	trait	GB117_Present
std:grambank:GB118	trait	GB118_SerialVerbConstructions
std:grambank:GB118:0	trait	GB118_Absent
std:grambank:GB118:1	trait	GB118_Present
std:grambank:GB132	trait	GB132_VerbMedialTransitiveOrder
std:grambank:GB132:0	trait	GB132_Absent
std:grambank:GB132:1	trait	GB132_Present
std:grambank:GB147	trait	GB147_MorphologicalPassive
std:grambank:GB147:0	trait	GB147_Absent
std:grambank:GB147:1	trait	GB147_Present
std:grambank:GB155	trait	GB155_MorphologicalCausative
std:grambank:GB155:0	trait	GB155_Absent
std:grambank:GB155:1	trait	GB155_Present
std:grambank:GB262	trait	GB262_InitialPolarQuestionParticle
std:grambank:GB262:0	trait	GB262_Absent
std:grambank:GB262:1	trait	GB262_Present
std:grambank:GB322	trait	GB322_DirectEvidential
std:grambank:GB322:0	trait	GB322_Absent
std:grambank:GB322:1	trait	GB322_Present
std:grambank:GB522	trait	GB522_ProDrop
std:grambank:GB522:0	trait	GB522_Absent
std:grambank:GB522:1	trait	GB522_Present
